Sat.A1ModJulian           Sat.UTCModJulian          Sat.X                     Sat.Y                     Sat.Z                     Sat.VX                    Sat.VY                    Sat.VZ                    
30311.08931752756         30311.08888888889         -2055.458592657513        -972.2359040267298        6697.983765444675         -7.178487369769575        0.2999798883585778        -2.153251180389064        
30311.09001197201         30311.08958333333         -2481.731424745874        -952.2876910321472        6555.327672122628         -7.025825336766407        0.3647382095265367        -2.600355582060269        
30311.09070641645         30311.09027777778         -2897.990209197997        -928.4965822523014        6386.150484507781         -6.844795824872251        0.4280335286953308        -3.036991818080645        
30311.0914008609          30311.09097222222         -3302.553815847199        -900.9580238583784        6191.133141003731         -6.636114592570921        0.4896112412785957        -3.461405193308808        
30311.09209530534         30311.09166666667         -3693.787371651561        -869.7825580309313        5971.060550115119         -6.400607541167796        0.5492229701947615        -3.871885856820882        
30311.09278974979         30311.09236111111         -4070.108817653002        -835.0954090326885        5726.818691167537         -6.139208850866992        0.6066279151237939        -4.266775845577382        
30311.09348419423         30311.09305555556         -4429.995325176301        -797.0359896452277        5459.391281720857         -5.852958121833491        0.6615941180214765        -4.644476391185519        
30311.09417863868         30311.09375               -4771.989511451201        -755.7573389512767        5169.856011895181         -5.542996595749806        0.7138994708159545        -5.003454983836506        
30311.09487308312         30311.09444444444         -5094.705409467027        -711.4255076916324        4859.380368304105         -5.210562796278434        0.7633324712590235        -5.342251981016792        
30311.09556752757         30311.09513888889         -5396.834164806226        -664.2189024113503        4529.217074380435         -4.856987805078308        0.8096928682160309        -5.659486798561981        
30311.09626197201         30311.09583333333         -5677.14943928692         -614.327590607767         4180.699170484897         -4.483690214534728        0.8527923317954362        -5.953863727561084        
30311.09695641646         30311.09652777778         -5934.512502939405        -561.9525637067801        3815.234756279257         -4.092170799220828        0.8924551871464593        -6.2241773794793          
30311.0976508609          30311.09722222222         -6167.876999840565        -507.3049549029188        3434.301415543212         -3.684006979700817        0.9285191774081721        -6.469317853428877        
30311.09834530534         30311.09791666667         -6376.293374582884        -450.6052113041093        3039.440334785701         -3.260847018050808        0.960836220745223         -6.688275800759595        
30311.09903974979         30311.09861111111         -6558.912936554361        -392.0822210160432        2632.250119666825         -2.824403703433958        0.9892731557798292        -6.880147413354953        
30311.09973419423         30311.09930555556         -6714.99152471481         -331.9723959221606        2214.380320351514         -2.376447339605952        1.013712469730805         -7.044139076303289        
30311.10042863867         30311.1                   -6843.892732700626        -270.5187121790243        1787.524696840056         -1.918798147869564        1.034052970306568         -7.179571336361604        
30311.10112308312         30311.10069444445         -6945.090669100988        -207.9697136216268        1353.414270357513         -1.453318430065324        1.050210340530839         -7.285882076359329        
30311.10181752756         30311.10138888889         -7018.172247297852        -144.5784864144237        913.8102035368659         -0.9819047425276892       1.062117541106257         -7.36262909645261         
30311.10251197201         30311.10208333334         -7062.839005506955        -80.6016136619683         470.4965367135957         -0.5064800300956768       1.069725085304093         -7.409492358839801        
30311.10320641645         30311.10277777778         -7078.908447666532        -16.29811564705167        25.27279806758864         -0.02898547875185522      1.073001255371678         -7.426275928999729        
30311.1039008609          30311.10347222222         -7066.314882403616        48.07162257937136         -420.0534884885192        0.4486280770734192        1.071932310854826         -7.412909393529884        
30311.10459530534         30311.10416666667         -7025.109734293713        112.2469354449993         -863.6743574238512        0.9244091192893078        1.066522663379027         -7.369448467470084        
30311.10528974979         30311.10486111111         -6955.46131273006         175.9679683231809         -1303.788963400714        1.396414504497631         1.056794925099148         -7.296074635025383        
30311.10598419423         30311.10555555555         -6857.654042977113        238.9767659602609         -1738.611093528228        1.862718282446119         1.042789752333655         -7.193093884813817        
